Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.22,-.17,-.17,***,***,-.12,-.16,-.20
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.03,-.15,-.22,-.18,-.07,-.09,-.09,-.17,.05,-.07,-.18
1882,.16,.14,.04,-.17,-.14,-.23,-.16,-.07,-.14,-.24,-.16,-.36,-.11,-.09,.08,-.09,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.17,-.07,-.06,-.14,-.21,-.11,-.23,-.11,-.17,-.19,-.34,-.15,-.09,-.18
1884,-.13,-.07,-.35,-.40,-.33,-.35,-.30,-.27,-.27,-.25,-.33,-.31,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.42,-.45,-.43,-.33,-.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.43,-.50,-.42,-.28,-.24,-.34,-.18,-.31,-.23,-.27,-.27,-.24,-.31,-.30,-.34,-.31,-.28,-.26
1887,-.72,-.57,-.35,-.34,-.30,-.24,-.25,-.35,-.26,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.21,-.22,-.17,-.11,-.15,-.12,.01,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.07,-.20,-.24,-.26,-.34,-.29,-.11,-.09,.01,.05,-.12,-.28
1890,-.42,-.45,-.40,-.30,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.32,-.35,-.35,-.39,-.36,-.30,-.35
1891,-.33,-.46,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.21,-.31,-.03,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.12,-.40,-.33,-.23,-.21,-.31,-.27,-.17,-.14,-.42,-.39,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.28,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.53,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.31,-.31,-.38,-.33,-.29,-.26
1895,-.41,-.43,-.33,-.22,-.27,-.21,-.16,-.17,-.12,-.11,-.17,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.22,-.13,-.26,-.31,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.05,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.03,-.02,-.12,-.03,-.09,-.09,-.13,-.18,-.21,-.11,-.10,-.12,-.06,-.08,-.13
